complaint_text,category
trash accumulation is attracting rats outside my house.,Sanitation
Website layout is a great event today.,General
blood pressure needs a doctor immediately at the ER.,Healthcare
violent kidnapping reported last night at the train station.,Public Safety
birth certificate requested a bribe on the government portal.,Administration
ambulance response is critical condition in the medical ward.,Healthcare
permit application is being delayed in the records office.,Administration
recycling bin is overflowing onto street near the park.,Sanitation
theft in progress is out of control in the community park.,Public Safety
passport processing requested a bribe on the government portal.,Administration
Attention: The weather is interesting for everyone.,General
birth certificate keeps crashing at town hall.,Administration
The weather is interesting for everyone.,General
recycling bin is overflowing onto street outside my house.,Sanitation
cracked sidewalk is breaking apart on the main highway.,Infrastructure
gang fighting is extremely scary at the train station.,General
Attention: Website layout is helpful this morning.,General
Attention: garbage pile is rotting and stinking near the park.,Sanitation
violent kidnapping is extremely scary outside the mall.,Public Safety
Attention: illegal dumping is overflowing onto street outside my house.,Sanitation
raw sewage is rotting and stinking outside my house.,Sanitation
pothole on road is breaking apart near the square.,Infrastructure
official website is full of errors in the records office.,Administration
The weather is very nice for everyone.,General
The parade is very nice in the park.,General
Attention: raw sewage is attracting rats in the residential alley.,Sanitation
Report: pothole on road needs urgent repair near the square.,Infrastructure
Website layout is interesting in the park.,General
heart rate is out of stock in the medical ward.,Healthcare
blood pressure is dropping fast at the city hospital.,Healthcare
Urgent: recycling bin is rotting and stinking near the park.,Sanitation
gang fighting is out of control outside the mall.,Public Safety
Report: recycling bin is attracting rats behind the school.,Sanitation
illegal racing is out of control near Birendra Chowk.,Public Safety
clerk behavior is being delayed in the records office.,Administration
water pipe leak is breaking apart near the square.,Infrastructure
Report: garbage pile is attracting rats near the park.,Sanitation
pothole on road is breaking apart in the downtown area.,Infrastructure
birth certificate requested a bribe at town hall.,Administration
traffic signal needs urgent repair near the square.,Infrastructure
Report: suspicious loitering happened just now outside the mall.,Public Safety
illegal racing is a threat to life in the community park.,Public Safety
The parade is a great event today.,General
suspicious loitering happened just now near Birendra Chowk.,Public Safety
Report: permit application is full of errors at city hall.,Administration
suspicious loitering is extremely scary outside the mall.,Public Safety
trash accumulation is rotting and stinking near the park.,Sanitation
City gardens is very nice this morning.,General
ambulance response is dangerously low in the medical ward.,Healthcare
traffic signal is crumbling near the square.,Infrastructure
theft in progress reported last night in the community park.,Public Safety
official website is being delayed at town hall.,Administration
water pipe leak needs urgent repair near the square.,Infrastructure
trash accumulation is leaking into drains in the residential alley.,Sanitation
garbage pile is leaking into drains in the residential alley.,Sanitation
heart rate needs a doctor immediately near the health clinic.,Healthcare
Urgent: official website is stuck for months on the government portal.,Administration
Report: City gardens looks beautiful in the park.,General
pothole on road is crumbling in the downtown area.,Infrastructure
Report: heart rate is critical condition at the city hospital.,Healthcare
medical emergency is dangerously low at the city hospital.,Healthcare
City gardens is helpful this morning.,General
theft in progress reported last night in the community park.,Public Safety
garbage pile is rotting and stinking in the residential alley.,Sanitation
City gardens is very nice this morning.,General
bridge support is gushing water at the intersection.,Infrastructure
traffic signal is gushing water on the main highway.,Infrastructure
pothole on road needs urgent repair on the main highway.,Infrastructure
Attention: cracked sidewalk needs urgent repair near the square.,Infrastructure
